2016-Jan-25 01:55:08 INFO  clientLogger:23 - Attempting to connect to 127.0.0.1:3001
@2016-Jan-25 10:22:48 INFO  clientLogger:65 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=

@2016-Jan-25 10:22:48 INFO  clientLogger:68 - joe: Connected to server: localhost/127.0.0.1
@2016-Jan-25 10:22:48 INFO  clientLogger:70 - joe: Connected to portid: 49240
@2016-Jan-25 10:22:48 INFO  clientLogger:122 - 
49240: Client Started...

@2016-Jan-25 10:22:48 INFO  clientLogger:74 - Client sent to server: join joe 127.0.0.1
@2016-Jan-25 10:22:48 INFO  clientLogger:269 - Player 49240 broadcasted: join joe 127.0.0.1
@2016-Jan-25 10:22:48 INFO  clientLogger:269 - Player 49240 broadcasted: join joe 127.0.0.1
@2016-Jan-25 10:22:48 INFO  clientLogger:141 - Message from the server: WAITING FOR MORE PLAYERS
@2016-Jan-25 10:22:48 INFO  clientLogger:269 - Server sent: startGame 3 Players 3 rounds
@2016-Jan-25 10:22:48 INFO  clientLogger:141 - Message from the server: WAITING FOR MORE PLAYERS
@2016-Jan-25 10:22:56 INFO  clientLogger:54 - fred: Establishing connection. Please wait ...
@2016-Jan-25 10:22:56 INFO  clientLogger:61 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=
@2016-Jan-25 10:22:56 INFO  clientLogger:63 - WELCOME TO GAME OF THE SURVIVAL OF THE FITTEST
@2016-Jan-25 10:22:56 INFO  clientLogger:65 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=

@2016-Jan-25 10:22:56 INFO  clientLogger:68 - fred: Connected to server: localhost/127.0.0.1
@2016-Jan-25 10:22:56 INFO  clientLogger:70 - fred: Connected to portid: 49245
@2016-Jan-25 10:22:56 INFO  clientLogger:122 - 
49245: Client Started...

@2016-Jan-25 10:22:56 INFO  clientLogger:74 - Client sent to server: join fred 127.0.0.1
